10-1075,P35498-P14867,1BYY-5OSA,DB00273,Identity:36/1589(2.3%),N/A,N/A,N/A,N/A,N/A,N/A
1068-505,P14867-P42261,5OSA-3SAJ,DB01236,Identity:311/1967(15.8%),N/A,N/A,N/A,N/A,N/A,N/A
1069-1070,P14867-P14867,5OSA-5OSA,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1069-183,P14867-P48169,5OSA-1VRY,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1069-184,P14867-Q16445,5OSA-1VRY,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1069-185,P14867-P48169,5OSA-1VRY,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
107-104,P17658-P22460,1QDW-1QDV,DB06637,Identity:348/744(46.8%),N/A,N/A,N/A,N/A,N/A,N/A
107-106,P17658-P22459,1QDW-1QDW,DB06637,N/A,N/A,N/A,N/A,N/A,N/A,N/A
107-449,P17658-Q14003,1QDW-3KVT,DB06637,Identity:37/712(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
1070-1003,P14867-P47869,5OSA-5O8F,DB00306,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1070-1004,P14867-P47869,5OSA-5O8F,DB00306,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1070-184,P14867-Q16445,5OSA-1VRY,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1070-186,P14867-Q16445,5OSA-1VRY,DB00306,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1071-188,P14867-Q16445,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1071-189,P14867-P48169,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1071-190,P14867-Q16445,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1071-606,P14867-P28472,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1071-607,P14867-P47870,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1071-608,P14867-P18505,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1072-1071,P14867-P14867,5OSA-5OSA,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1072-187,P14867-P48169,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1072-189,P14867-P48169,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1072-605,P14867-P18505,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1072-606,P14867-P28472,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1072-607,P14867-P47870,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1072-608,P14867-P18505,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1073-1117,P14867-Q14654,5OSA-6BAA,DB01154,Identity:327/6915(4.7%),N/A,N/A,N/A,N/A,N/A,N/A
1073-1118,P14867-Q15842,5OSA-6BAA,DB01154,Identity:327/6915(4.7%),N/A,N/A,N/A,N/A,N/A,N/A
1074-191,P14867-P48169,5OSA-1VRY,DB00599,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1074-192,P14867-Q16445,5OSA-1VRY,DB00599,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1076-10,P14867-P35498,5OSA-1BYY,DB00273,Identity:36/1589(2.3%),N/A,N/A,N/A,N/A,N/A,N/A
1076-1075,P14867-P14867,5OSA-5OSA,DB00273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1076-417,P14867-P39086,5OSA-3FV1,DB00273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1077-1078,P14867-P14867,5OSA-5OSA,DB00897,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1077-193,P14867-P48169,5OSA-1VRY,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1077-194,P14867-Q16445,5OSA-1VRY,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1077-611,P14867-P18505,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1077-615,P14867-P47870,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1078-195,P14867-P48169,5OSA-1VRY,DB00897,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
1078-612,P14867-P28472,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1078-614,P14867-P18505,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1078-615,P14867-P47870,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
1078-616,P14867-P28472,5OSA-4COF,DB00897,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
108-395,P12532-P12277,1QK1-3B6R,DB00148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108-397,P12532-P17540,1QK1-3B6R,DB00148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108-398,P12532-P06732,1QK1-3B6R,DB00148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108-399,P12532-P12277,1QK1-3B6R,DB00148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108-472,P12532-Q14353,1QK1-3ORH,DB00148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1080-1010,P14867-P47869,5OSA-5O8F,DB01198,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1081-435,O14842-P37231,5TZR-3GWX,DB00159,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1081-68,O14842-P23219,5TZR-1IGX,DB00159,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1082-16,P10276-P13631,5UAN-1DSZ,DB00523,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1082-919,P10276-P28702,5UAN-5HJP,DB00523,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1083-339,P04150-P06401,5UC3-2W8Y,DB00834,Identity:248/504(49.2%),0.5,2.37,4.35E-13,0.6012,-6.165,0.769
1084-1091,P30542-P29275,5UEN-5VRA,DB00640,Identity:251/772(32.5%),N/A,N/A,N/A,N/A,N/A,N/A
1086-222,P30542-Q9NP56,5UEN-1ZKL,DB00651,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1086-290,P30542-P27815,5UEN-2QYK,DB00651,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1086-689,P30542-Q07343,5UEN-4KP6,DB00651,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1087-123,P30542-Q14432,5UEN-1SO2,DB01303,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1089-295,P30542-P27815,5UEN-2QYK,DB00277,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1089-702,P30542-Q92769,5UEN-4LY1,DB00277,Identity:124/1384(9.0%),N/A,N/A,N/A,N/A,N/A,N/A
1090-470,P56282-P31350,5VBN-3OLJ,DB00242,Identity:4/2236(0.2%),N/A,N/A,N/A,N/A,N/A,N/A
1090-642,P56282-Q7LG56,5VBN-4DJN,DB00242,Identity:4/1650(0.2%),N/A,N/A,N/A,N/A,N/A,N/A
1092-690,P29275-Q07343,5VRA-4KP6,DB00824,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1093-1089,P29275-P30542,5VRA-5UEN,DB00277,Identity:251/772(32.5%),N/A,N/A,N/A,N/A,N/A,N/A
1093-124,P29275-Q14432,5VRA-1SO2,DB00277,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1093-702,P29275-Q92769,5VRA-4LY1,DB00277,Identity:49/1310(3.7%),N/A,N/A,N/A,N/A,N/A,N/A
1094-473,P21917-P35462,5WIU-3PBL,DB00714,Identity:161/863(18.7%),N/A,N/A,N/A,N/A,N/A,N/A
1095-477,P21917-P35462,5WIU-3PBL,DB00988,Identity:161/863(18.7%),N/A,N/A,N/A,N/A,N/A,N/A
1097-478,P21917-P35462,5WIU-3PBL,DB01235,Identity:161/863(18.7%),N/A,N/A,N/A,N/A,N/A,N/A
11-13,P35498-P35499,1BYY-1BYY,DB00909,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-272,P35498-Q15858,1BYY-2KAV,DB00909,Identity:9/1771(0.5%),N/A,N/A,N/A,N/A,N/A,N/A
110-66,Q9Y5R2-P24347,1RM8-1HV5,DB00786,Identity:74/989(7.5%),N/A,N/A,N/A,N/A,N/A,N/A
1102-785,O43614-O43613,5WQC-4ZJ8,DB09034,Identity:434/507(85.6%),N/A,N/A,N/A,N/A,N/A,N/A
1103-1111,Q09428-Q14654,5WUA-6BAA,DB00222,Identity:6307/6724(93.8%),N/A,N/A,N/A,N/A,N/A,N/A
1104-1112,Q09428-Q15842,5WUA-6BAA,DB01251,Identity:6307/6724(93.8%),N/A,N/A,N/A,N/A,N/A,N/A
1106-900,P24530-P25101,5X93-5GLH,DB08932,Identity:406/491(82.7%),N/A,N/A,N/A,N/A,N/A,N/A
1107-949,P28065-P49721,6AVO-5LE5,DB08889,Identity:2988/7802(38.3%),N/A,N/A,N/A,N/A,N/A,N/A
1108-210,P0AFI5-Q75Y35,6AZI-1XP4,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1108-250,P0AFI5-Q8DR59,6AZI-2C5W,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1108-347,P0AFI5-P0A3M6,6AZI-2WAF,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1108-369,P0AFI5-Q7CRA4,6AZI-2Y2M,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1108-443,P0AFI5-P08506,6AZI-3ITA,DB01331,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1109-1113,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1109-1114,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111-104,Q9NSA2-P22460,1S1G-1QDV,DB06637,Identity:69/413(16.7%),N/A,N/A,N/A,N/A,N/A,N/A
111-106,Q9NSA2-P22459,1S1G-1QDW,DB06637,Identity:65/742(8.8%),N/A,N/A,N/A,N/A,N/A,N/A
111-107,Q9NSA2-P17658,1S1G-1QDW,DB06637,Identity:65/742(8.8%),N/A,N/A,N/A,N/A,N/A,N/A
111-4,Q9NSA2-Q96RP8,1S1G-1A68,DB06637,Identity:34/219(15.5%),N/A,N/A,N/A,N/A,N/A,N/A
111-447,Q9NSA2-P48547,1S1G-3KVT,DB06637,Identity:38/218(17.4%),N/A,N/A,N/A,N/A,N/A,N/A
111-448,Q9NSA2-Q96PR1,1S1G-3KVT,DB06637,Identity:38/218(17.4%),N/A,N/A,N/A,N/A,N/A,N/A
111-449,Q9NSA2-Q14003,1S1G-3KVT,DB06637,Identity:38/218(17.4%),N/A,N/A,N/A,N/A,N/A,N/A
1110-1109,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1110-1114,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1113-1110,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1113-1114,Q14654-Q14654,6BAA-6BAA,DB01016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1115-1116,Q14654-Q15842,6BAA-6BAA,DB00922,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1118-1117,Q15842-Q14654,6BAA-6BAA,DB01154,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112-113,P27338-P27338,1S3E-1S3E,DB00182,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114-301,P27338-P07550,1S3E-2R4R,DB01363,Identity:118/1206(9.8%),N/A,N/A,N/A,N/A,N/A,N/A
114-44,P27338-P18825,1S3E-1HLL,DB01363,Identity:9/993(0.9%),N/A,N/A,N/A,N/A,N/A,N/A
114-929,P27338-P31645,1S3E-5I6X,DB01363,Identity:86/1664(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
115-237,P27338-P21397,1S3E-2BXR,DB01247,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
116-238,P27338-P21397,1S3E-2BXR,DB01577,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
116-50,P27338-P18089,1S3E-1HLL,DB01577,Identity:9/993(0.9%),N/A,N/A,N/A,N/A,N/A,N/A
116-931,P27338-P31645,1S3E-5I6X,DB01577,Identity:86/1664(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
117-240,P27338-P21397,1S3E-2BXR,DB01442,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
117-932,P27338-P31645,1S3E-5I6X,DB01442,Identity:86/1664(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
118-241,P27338-P21397,1S3E-2BXR,DB00780,Identity:663/993(66.8%),N/A,N/A,N/A,N/A,N/A,N/A
119-934,P27338-P31645,1S3E-5I6X,DB00191,Identity:86/1664(5.2%),N/A,N/A,N/A,N/A,N/A,N/A
12-11,Q9UI33-P35498,1BYY-1BYY,DB00909,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12-13,Q9UI33-P35499,1BYY-1BYY,DB00909,N/A,N/A,N/A,N/A,N/A,N/A,N/A
121-526,P36507-Q02750,1S9I-3VVH,DB08911,Identity:506/884(57.2%),N/A,N/A,N/A,N/A,N/A,N/A
122-1085,Q14432-P30542,1SO2-5UEN,DB01223,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123-293,Q14432-P27815,1SO2-2QYK,DB01303,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123-700,Q14432-Q92769,1SO2-4LY1,DB01303,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124-1089,Q14432-P30542,1SO2-5UEN,DB00277,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124-702,Q14432-Q92769,1SO2-4LY1,DB00277,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125-502,P48167-P42261,1T3E-3SAJ,DB00228,Identity:155/1776(8.7%),N/A,N/A,N/A,N/A,N/A,N/A
127-485,P72355-Q51504,1TVF-3PBT,DB06211,Identity:126/815(15.5%),N/A,N/A,N/A,N/A,N/A,N/A
127-523,P72355-P02919,1TVF-3VMA,DB06211,Identity:127/961(13.2%),N/A,N/A,N/A,N/A,N/A,N/A
128-360,P04049-P07949,1UWH-2X2U,DB00398,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128-458,P04049-P09619,1UWH-3MJG,DB00398,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128-532,P04049-P17948,1UWH-3WZE,DB00398,Identity:90/581(15.5%),0.9,2.13,5.07E-09,0.77601,-6.225,0.526
128-539,P04049-P35968,1UWH-4ASD,DB00398,Identity:95/573(16.6%),0.8,2.61,8.45E-18,0.49327,-6.402,0.526
13-883,P35499-O60939,1BYY-5FEB,DB00909,Identity:3/323(0.9%),N/A,N/A,N/A,N/A,N/A,N/A
131-1012,P48169-P14867,1VRY-5OSA,DB01351,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
131-963,P48169-P47869,1VRY-5O8F,DB01351,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
132-1012,Q16445-P14867,1VRY-5OSA,DB01351,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
132-131,Q16445-P48169,1VRY-1VRY,DB01351,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132-963,Q16445-P47869,1VRY-5O8F,DB01351,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
134-1013,Q16445-P14867,1VRY-5OSA,DB01352,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
134-133,Q16445-P48169,1VRY-1VRY,DB01352,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135-965,P48169-P47869,1VRY-5O8F,DB01483,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
136-1014,Q16445-P14867,1VRY-5OSA,DB01483,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
136-135,Q16445-P48169,1VRY-1VRY,DB01483,N/A,N/A,N/A,N/A,N/A,N/A,N/A
136-965,Q16445-P47869,1VRY-5O8F,DB01483,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
137-1015,P48169-P14867,1VRY-5OSA,DB01496,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
138-137,Q16445-P48169,1VRY-1VRY,DB01496,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139-140,P48169-Q16445,1VRY-1VRY,DB01558,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139-543,P48169-P18505,1VRY-4COF,DB01558,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
139-544,P48169-P28472,1VRY-4COF,DB01558,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
14-917,P13631-P28702,1DSZ-5HJP,DB00459,Identity:7/1078(0.6%),N/A,N/A,N/A,N/A,N/A,N/A
140-543,Q16445-P18505,1VRY-4COF,DB01558,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
140-544,Q16445-P28472,1VRY-4COF,DB01558,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
140-545,Q16445-P47870,1VRY-4COF,DB01558,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
140-967,Q16445-P47869,1VRY-5O8F,DB01558,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
141-1017,P48169-P14867,1VRY-5OSA,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
141-142,P48169-Q16445,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141-144,P48169-Q16445,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141-968,P48169-P47869,1VRY-5O8F,DB00241,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
142-1017,Q16445-P14867,1VRY-5OSA,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
142-143,Q16445-P48169,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
142-144,Q16445-Q16445,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
143-141,P48169-P48169,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144-1017,Q16445-P14867,1VRY-5OSA,DB00241,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
144-143,Q16445-P48169,1VRY-1VRY,DB00241,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144-969,Q16445-P47869,1VRY-5O8F,DB00241,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
146-1019,Q16445-P14867,1VRY-5OSA,DB01353,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
146-145,Q16445-P48169,1VRY-1VRY,DB01353,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147-276,P48169-P30536,1VRY-2MGY,DB01544,Identity:293/3620(8.1%),N/A,N/A,N/A,N/A,N/A,N/A
148-147,Q16445-P48169,1VRY-1VRY,DB01544,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148-978,Q16445-P47869,1VRY-5O8F,DB01544,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
149-150,P48169-Q16445,1VRY-1VRY,DB00690,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149-567,P48169-P18505,1VRY-4COF,DB00690,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
149-568,P48169-P28472,1VRY-4COF,DB00690,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
149-569,P48169-P47870,1VRY-4COF,DB00690,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
149-979,P48169-P47869,1VRY-5O8F,DB00690,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
150-1034,Q16445-P14867,1VRY-5OSA,DB00690,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
150-569,Q16445-P47870,1VRY-4COF,DB00690,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
151-1039,P48169-P14867,1VRY-5OSA,DB01354,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
151-982,P48169-P47869,1VRY-5O8F,DB01354,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
152-1039,Q16445-P14867,1VRY-5OSA,DB01354,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
152-151,Q16445-P48169,1VRY-1VRY,DB01354,N/A,N/A,N/A,N/A,N/A,N/A,N/A
153-1040,P48169-P14867,1VRY-5OSA,DB01355,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
153-154,P48169-Q16445,1VRY-1VRY,DB01355,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154-1040,Q16445-P14867,1VRY-5OSA,DB01355,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
155-157,P48169-P48169,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
155-158,P48169-Q16445,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
155-984,P48169-P47869,1VRY-5O8F,DB00371,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
156-1044,Q16445-P14867,1VRY-5OSA,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
156-155,Q16445-P48169,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156-157,Q16445-P48169,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156-984,Q16445-P47869,1VRY-5O8F,DB00371,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
157-1045,P48169-P14867,1VRY-5OSA,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
158-1044,Q16445-P14867,1VRY-5OSA,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
158-1045,Q16445-P14867,1VRY-5OSA,DB00371,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
158-156,Q16445-Q16445,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158-157,Q16445-P48169,1VRY-1VRY,DB00371,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158-984,Q16445-P47869,1VRY-5O8F,DB00371,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
159-161,P48169-P48169,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159-162,P48169-Q16445,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159-986,P48169-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
159-987,P48169-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
16-27,P13631-P28702,1DSZ-1G5Y,DB00523,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-468,P13631-P48443,1DSZ-3OAP,DB00523,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-919,P13631-P28702,1DSZ-5HJP,DB00523,Identity:7/1078(0.6%),N/A,N/A,N/A,N/A,N/A,N/A
160-159,Q16445-P48169,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160-161,Q16445-P48169,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160-986,Q16445-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
161-162,P48169-Q16445,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161-986,P48169-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
161-987,P48169-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
162-1047,Q16445-P14867,1VRY-5OSA,DB00463,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
162-160,Q16445-Q16445,1VRY-1VRY,DB00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162-987,Q16445-P47869,1VRY-5O8F,DB00463,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
164-1050,Q16445-P14867,1VRY-5OSA,DB00849,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
164-163,Q16445-P48169,1VRY-1VRY,DB00849,N/A,N/A,N/A,N/A,N/A,N/A,N/A
164-988,Q16445-P47869,1VRY-5O8F,DB00849,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
165-1053,P48169-P14867,1VRY-5OSA,DB00683,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
165-166,P48169-Q16445,1VRY-1VRY,DB00683,N/A,N/A,N/A,N/A,N/A,N/A,N/A
165-580,P48169-P28472,1VRY-4COF,DB00683,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
165-581,P48169-P47870,1VRY-4COF,DB00683,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
166-579,Q16445-P18505,1VRY-4COF,DB00683,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
166-580,Q16445-P28472,1VRY-4COF,DB00683,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
166-989,Q16445-P47869,1VRY-5O8F,DB00683,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
167-1054,P48169-P14867,1VRY-5OSA,DB01595,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
167-168,P48169-Q16445,1VRY-1VRY,DB01595,N/A,N/A,N/A,N/A,N/A,N/A,N/A
167-582,P48169-P18505,1VRY-4COF,DB01595,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
167-990,P48169-P47869,1VRY-5O8F,DB01595,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
168-582,Q16445-P18505,1VRY-4COF,DB01595,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
168-583,Q16445-P28472,1VRY-4COF,DB01595,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
169-1056,P48169-P14867,1VRY-5OSA,DB00842,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
